id,name,platform,country,category,followers,engagement_rate,brand_fit_score,tags,last_updated
tiktok_nyashinski,Nyashinski,TikTok,Kenya,Fashion,2420292,3.6,61,"style,design,kenya,beauty",2025-10-20
tiktok_diamond_platnumz,Diamond Platnumz,TikTok,Tanzania,Fashion,1227765,2.6,93,"style,design,tanzania,beauty",2025-10-20
youtube_zuchu,Zuchu,YouTube,Tanzania,Music,1878955,5.0,53,"music,performance,tanzania,afrobeat",2025-10-20
youtube_nandy,Nandy,YouTube,Tanzania,Lifestyle,750540,7.2,55,"daily,travel,vlog,lifestyle",2025-10-20
instagram_harmonize,Harmonize,Instagram,Tanzania,Music,221916,1.5,63,"music,performance,tanzania,afrobeat",2025-10-20
tiktok_rayvanny,Rayvanny,TikTok,Tanzania,Music,974893,7.4,84,"music,performance,tanzania,afrobeat",2025-10-20
tiktok_alikiba,Alikiba,TikTok,Tanzania,Tech,606952,2.1,48,"gadgets,tech,tanzania,apps",2025-10-20
tiktok_mimi_mars,Mimi Mars,TikTok,Tanzania,Fashion,2333514,8.7,86,"style,design,tanzania,beauty",2025-10-20
instagram_juma_jux,Juma Jux,Instagram,Tanzania,Music,2389586,8.1,80,"music,performance,tanzania,afrobeat",2025-10-20
instagram_vanessa_mdee,Vanessa Mdee,Instagram,Tanzania,Fashion,918742,7.5,62,"style,design,tanzania,beauty",2025-10-20
instagram_ben_pol,Ben Pol,Instagram,Tanzania,Tech,2333449,0.8,91,"gadgets,tech,tanzania,apps",2025-10-20
tiktok_billnass,Billnass,TikTok,Tanzania,Fashion,539875,7.7,76,"style,design,tanzania,beauty",2025-10-20
instagram_whozu,Whozu,Instagram,Tanzania,Music,2157822,5.5,94,"music,performance,tanzania,afrobeat",2025-10-20
youtube_ibraah,Ibraah,YouTube,Tanzania,Food,2358055,1.0,67,"food,chef,recipes,tanzania",2025-10-20
youtube_lulu_diva,Lulu Diva,YouTube,Tanzania,Lifestyle,1544076,4.2,76,"daily,travel,vlog,lifestyle",2025-10-20
youtube_marioo,Marioo,YouTube,Tanzania,Tech,127237,8.8,90,"gadgets,tech,tanzania,apps",2025-10-20
tiktok_sherrie_silver,Sherrie Silver,TikTok,Rwanda,Fashion,1130693,4.5,64,"style,rwanda,design,beauty",2025-10-20
tiktok_meddy,Meddy,TikTok,Rwanda,Music,1827405,8.1,100,"rwanda,music,performance,afrobeat",2025-10-20
tiktok_mike_kayihura,Mike Kayihura,TikTok,Rwanda,Food,1562426,2.5,99,"food,rwanda,chef,recipes",2025-10-20
instagram_butera_knowless,Butera Knowless,Instagram,Rwanda,Tech,2360672,4.7,70,"gadgets,rwanda,tech,apps",2025-10-20
youtube_bruce_melodie,Bruce Melodie,YouTube,Rwanda,Fashion,764739,1.5,57,"style,rwanda,design,beauty",2025-10-20
youtube_the_ben,The Ben,YouTube,Rwanda,Music,244334,1.5,60,"rwanda,music,performance,afrobeat",2025-10-20
instagram_aline_gahongayire,Aline Gahongayire,Instagram,Rwanda,Music,831468,6.4,57,"rwanda,music,performance,afrobeat",2025-10-20
youtube_miss_shanel,Miss Shanel,YouTube,Rwanda,Music,106730,3.5,77,"rwanda,music,performance,afrobeat",2025-10-20
tiktok_ish_kevin,Ish Kevin,TikTok,Rwanda,Music,155461,8.5,65,"rwanda,music,performance,afrobeat",2025-10-20
tiktok_andy_bumuntu,Andy Bumuntu,TikTok,Rwanda,Lifestyle,1902930,1.4,60,"daily,travel,rwanda,vlog",2025-10-20
youtube_rophnan,Rophnan,YouTube,Ethiopia,Food,408119,5.6,72,"food,ethiopia,chef,recipes",2025-10-20
youtube_betty_g,Betty G,YouTube,Ethiopia,Tech,2194728,8.6,89,"gadgets,tech,ethiopia,apps",2025-10-20
instagram_liya_kebede,Liya Kebede,Instagram,Ethiopia,Music,959628,7.9,81,"ethiopia,music,performance,afrobeat",2025-10-20
youtube_selam_tesfaye,Selam Tesfaye,YouTube,Ethiopia,Lifestyle,2277514,6.5,51,"daily,travel,ethiopia,vlog",2025-10-20
tiktok_abel_makkonen,Abel Makkonen,TikTok,Ethiopia,Tech,2014090,3.4,89,"gadgets,tech,ethiopia,apps",2025-10-20
instagram_mahlet_mellesse,Mahlet Mellesse,Instagram,Ethiopia,Lifestyle,2444123,6.4,87,"daily,travel,ethiopia,vlog",2025-10-20
instagram_hewan_gebrewold,Hewan Gebrewold,Instagram,Ethiopia,Music,1640441,8.4,84,"ethiopia,music,performance,afrobeat",2025-10-20
youtube_teddy_afro,Teddy Afro,YouTube,Ethiopia,Music,116617,1.4,65,"ethiopia,music,performance,afrobeat",2025-10-20
instagram_haile_roots,Haile Roots,Instagram,Ethiopia,Food,1487790,8.2,80,"food,ethiopia,chef,recipes",2025-10-20
instagram_abel_mulugeta,Abel Mulugeta,Instagram,Ethiopia,Fashion,952774,6.5,80,"style,ethiopia,design,beauty",2025-10-20
youtube_the_ben_582,The Ben,YouTube,Rwanda,Music,691829,4.4,74,"rwanda,music,performance,afrobeat",2025-10-20
tiktok_fik_fameica_767,Fik Fameica,TikTok,Uganda,Tech,561381,8.3,54,"gadgets,tech,apps,reviews",2025-10-20
tiktok_muthoni_drummer_queen_969,Muthoni Drummer Queen,TikTok,Kenya,Tech,1444662,4.8,96,"gadgets,tech,apps,reviews",2025-10-20
instagram_kansiime_anne_850,Kansiime Anne,Instagram,Uganda,Fashion,282301,1.0,47,"style,design,beauty,fashion",2025-10-20
tiktok_fik_fameica_767_516,Fik Fameica,TikTok,Uganda,Tech,2109159,9.2,94,"gadgets,tech,apps,reviews",2025-10-20
youtube_azawi_962,Azawi,YouTube,Uganda,Music,1408067,4.8,82,"music,performance,afrobeat,uganda",2025-10-20
instagram_kansiime_anne_850_705,Kansiime Anne,Instagram,Uganda,Fashion,867948,7.2,84,"style,design,beauty,fashion",2025-10-20
youtube_betty_g_743,Betty G,YouTube,Ethiopia,Tech,1499093,5.7,99,"gadgets,tech,ethiopia,apps",2025-10-20
instagram_aline_gahongayire_978,Aline Gahongayire,Instagram,Rwanda,Music,666694,1.7,85,"rwanda,music,performance,afrobeat",2025-10-20
tiktok_fik_fameica_767_516_715,Fik Fameica,TikTok,Uganda,Tech,2357725,5.8,97,"gadgets,tech,apps,reviews",2025-10-20
youtube_nikita_kering_601,Nikita Kering,YouTube,Kenya,Fashion,2189609,1.5,95,"style,design,kenya,beauty",2025-10-20
youtube_the_ben_885,The Ben,YouTube,Rwanda,Music,1629377,3.0,53,"rwanda,music,performance,afrobeat",2025-10-20
youtube_zuchu_944,Zuchu,YouTube,Tanzania,Music,653414,6.8,62,"music,performance,tanzania,afrobeat",2025-10-20
tiktok_mimi_mars_581,Mimi Mars,TikTok,Tanzania,Fashion,1093077,3.7,47,"style,design,tanzania,beauty",2025-10-20
instagram_kansiime_anne_847,Kansiime Anne,Instagram,Uganda,Fashion,2170927,2.0,81,"style,design,beauty,fashion",2025-10-20
tiktok_wabosha_maxine_677,Wabosha Maxine,TikTok,Kenya,Lifestyle,1522917,0.8,79,"daily,travel,vlog,lifestyle",2025-10-20
youtube_the_ben_632,The Ben,YouTube,Rwanda,Music,118364,3.7,46,"rwanda,music,performance,afrobeat",2025-10-20
youtube_betty_g_534,Betty G,YouTube,Ethiopia,Tech,848110,1.3,95,"gadgets,tech,ethiopia,apps",2025-10-20
tiktok_mimi_mars_581_346,Mimi Mars,TikTok,Tanzania,Fashion,107032,2.4,74,"style,design,tanzania,beauty",2025-10-20
youtube_xenia_manasseh_659,Xenia Manasseh,YouTube,Kenya,Food,1190183,3.8,46,"food,chef,recipes,kenya",2025-10-20
youtube_nadia_mukami_777,Nadia Mukami,YouTube,Kenya,Tech,1210496,7.9,88,"gadgets,tech,apps,reviews",2025-10-20
tiktok_mimi_mars_581_346_253,Mimi Mars,TikTok,Tanzania,Fashion,877968,5.4,51,"style,design,tanzania,beauty",2025-10-20
tiktok_ish_kevin_685,Ish Kevin,TikTok,Rwanda,Music,58680,1.4,75,"rwanda,music,performance,afrobeat",2025-10-20
tiktok_alikiba_777,Alikiba,TikTok,Tanzania,Tech,674142,7.3,94,"gadgets,tech,tanzania,apps",2025-10-20
youtube_betty_g_534_633,Betty G,YouTube,Ethiopia,Tech,2121292,7.7,71,"gadgets,tech,ethiopia,apps",2025-10-20
